Codes;Kurztitel 2008 (max. 40 Zeichen inkl. Leerstellen)
1052;Herstellung von Speiseeis
105200;Herstellung von Speiseeis
106;Mahl- u. Schälmühlen, H.v. Stärkeerz.
1061;Mahl- u. Schälmühlen
106100;Mahl- u. Schälmühlen
1062;H.v. Stärke u. Stärkeerz.
106200;H.v. Stärke u. Stärkeerz.
107;H.v. Back- u. Teigwaren
1071;H.v. Backwa. o. Dauerbackwa.
107100;H.v. Backwa. o. Dauerbackwa.
1072;H.v. Dauerbackwaren
107200;H.v. Dauerbackwaren
1073;H.v. Teigwaren
107300;H.v. Teigwaren
108;H.v. sonst. Nahrungsm.
1081;H.v. Zucker
108100;H.v. Zucker
1082;H.v. Süsswa. o. Dauerbackwa.
108201;H.v. Kakao- u. Schokoladeerz.
108202;H.v. Zuckerwaren
1083;Verarb. v. Kaffee, Tee H.v. Kaffeeersatz
108300;Verarb. v. Kaffee, Tee H.v. Kaffeeersatz
1084;H.v. Würzm. u. Saucen
108400;H.v. Würzm. u. Saucen
1085;H.v. Fertiggerichten
108500;H.v. Fertiggerichten
1086;H.v. homogen. u. diätetischen Nahrungsm.
108600;H.v. homogen. u. diätetischen Nahrungsm.
1089;H.v. sonst. Nahrungsm. a.n.g.
108900;H.v. sonst. Nahrungsm. a.n.g.
109;H.v. Futterm.
1091;H.v. Futterm. f. Nutztiere
109100;H.v. Futterm. f. Nutztiere
1092;H.v. Futterm. f. sonst. Tiere
109200;H.v. Futterm. f. sonst. Tiere
11;Getränkeherstellung
110;Getränkeherstellung
1101;H.v. Spirituosen
110100;H.v. Spirituosen
1102;H.v. Traubenwein
110200;H.v. Traubenwein
1103;H.v. Apfel- u. anderen Fruchtweinen
110300;H.v. Apfel- u. anderen Fruchtweinen
1104;H.v. Wermutwein u. sonst. aromat. Weinen
110400;H.v. Wermutwein u. sonst. aromat. Weinen
1105;Herstellung von Bier
110500;Herstellung von Bier
1106;Herstellung von Malz
110600;Herstellung von Malz
1107;"H.v. Getränken; Gew. nat. Mineralwässer"
110700;"H.v. Getränken; Gew. nat. Mineralwässer"
12;Tabakverarbeitung
120;Tabakverarbeitung
1200;Tabakverarbeitung
120000;Tabakverarbeitung
13;Herstellung von Textilien
131;Spinnstoffaufb. u. Spinn.
1310;Spinnstoffaufb. u. Spinn.
131001;Baumwollaufb. u. -spinn.
131002;Wollaufb., Streich- u. Kammgarnspinn.
131003;Spinnstoffaufb. u. Spinn.
131004;Sonst. Spinnstoffaufb. u. Spinn.
132;Weberei
1320;Weberei
132001;Baumwollweberei
132002;Streich- u. Kammgarnweberei
132003;Sonstige Weberei
133;Veredlung v. Text. u. Bekl.
1330;Veredlung v. Text. u. Bekl.
133000;Veredlung v. Text. u. Bekl.
139;H.v. sonst. Textilwaren
1391;H.v. gewirktem u. gestricktem St.
139100;H.v. gewirktem u. gestricktem St.
1392;H.v. konf. Textilwa. o. Bekl.
139201;H.v. Haus-, Bett- u. Tischwäsche
139202;H.v. Bettwaren
139203;H.v. sonst. konf. Textilwa. o. Bekl.
1393;H.v. Teppichen
139300;H.v. Teppichen
1394;H.v. Seilerwaren
139400;H.v. Seilerwaren
1395;H.v. Vliesst. u. Erz. daraus o. Bekl.
139500;H.v. Vliesst. u. Erz. daraus o. Bekl.
1396;H.v. techn. Text.
139600;H.v. techn. Textilien
1399;H.v. sonst. Textilwa. a.n.g.
139901;Strickerei
139902;H.v. Bändern, Gurten usw.
139903;H.v. sonst. Textilwa. a.n.g.
14;H.v. Bekleidung
141;H.v. Bekl. o. Pelzbekl.
1411;H.v. Lederbekleidung
141100;H.v. Lederbekleidung
1412;H.v. Arbeits- u. Berufsbekl.
141200;H.v. Arbeits- u. Berufsbekl.
1413;H.v. sonst. Oberbekl.
141301;H.v. Herren- u. Knabenoberbekl.
141302;H.v. Damen- u. Mädchenoberbekl.
